time_us,in_ae,in_sc,in_di,in_gm,in_gy,in_as,in_e2t,in_dt,in_ig,out_out,out_tgt,out_act,out_P,out_I,out_D,out_F,out_DF
254344888,21,2.14285707,0,0,0.000245264731,1.10300827,1.02867937,0.0199999996,0.00292562996,171.030731,0.839999974,0.0140526332,1.13783288,0.167626247,-0.0102465106,0.415094733,-0
254364880,21,2.14285707,0,0,0.000224529533,1.10300827,1.02867937,0.0199999996,0.00292562996,172.092255,0.839999974,0.0128645943,1.13945627,0.167626247,-0.0012500725,0.415089995,-0
254384872,21,2.14285707,0,0,0.000316964695,1.10300827,1.02867937,0.0199999996,0.00292562996,170.160538,0.839999974,0.0181607381,1.13215101,0.167626247,-0.013258487,0.415086567,-0
254404864,21,2.14285707,0,0,0.000246723415,1.10300827,1.02867937,0.0199999996,0.00292562996,172.478302,0.839999974,0.0141362101,1.13768792,0.167626247,0.00438475702,0.415084034,-0
254424856,20,2.14285707,0,0,0.000396063784,1.46551454,1.02867937,0.0199999996,0.00292562996,164.290787,0.799999952,0.0226927828,1.11080992,0.167626247,-0.0451991893,0.40967083,-0
254444848,20,2.14285707,0,0,0.000292657642,1.46551454,1.02867937,0.0199999996,0.00292562996,165.846909,0.799999952,0.0167680476,1.1080122,0.167626247,-0.0229090285,0.405739635,-0
254464840,20,2.14285707,0,0,0.000329641392,1.46551454,1.02867937,0.0199999996,0.00292562996,163.951035,0.799999952,0.0188870598,1.09713435,0.167626247,-0.0281348825,0.402884692,-0
254484832,20,2.14285707,0,0,0.000324620167,1.46551454,1.02867937,0.0199999996,0.00292562996,163.95668,0.799999952,0.0185993649,1.09175074,0.167626247,-0.02062154,0.400811374,-0
254504824,20,2.14285707,0,0,0.000227653421,1.46551454,1.02867937,0.0199999996,0.00292562996,165.995255,0.799999952,0.0130435796,1.09520662,0.167626247,-0.00218610186,0.399305731,-0
254524816,20,2.14285707,0,0,0.000287892763,1.38466763,1.02867579,0.0199999996,0.00292562996,163.874252,0.799999952,0.0164950397,1.08740366,0.167626247,-0.0145009747,0.398213625,-0
254544808,20,2.14285707,0,0,0.000250085723,1.38466763,1.02867579,0.0199999996,0.00292562996,164.878326,0.799999952,0.014328856,1.08817399,0.167626247,-0.00443646405,0.397419512,-0
254564800,20,2.14285707,0,0,0.000237140805,1.38466763,1.02867579,0.0199999996,0.00292562996,164.926483,0.799999952,0.0135871666,1.08758807,0.167626247,-0.00279233954,0.396842867,-0
254584792,20,2.14285707,0,0,0.000306942035,1.38466763,1.02867579,0.0199999996,0.00292562996,163.218567,0.799999952,0.0175864827,1.08091116,0.167626247,-0.0127757778,0.396424055,-0
254604784,20,2.14285707,0,0,0.000314010074,1.38466763,1.02867579,0.0199999996,0.00292562996,163.570206,0.799999952,0.0179914515,1.07950544,0.167626247,-0.00754954619,0.396119863,-0
254624776,19,2.14285707,0,0,0.000253297389,1.33469832,1.02867413,0.0199999996,0.00292562996,160.464478,0.75999999,0.0145128705,1.06859601,0.167626247,-0.0220657401,0.390488267,-0
254644768,19,2.14285707,0,0,0.000318689272,1.33469832,1.02867413,0.0199999996,0.00292562996,156.832581,0.75999999,0.0182595495,1.05203199,0.167626247,-0.0377304368,0.386397988,-0
254664760,19,2.14285707,0,0,0.00029822276,1.33469832,1.02867413,0.0199999996,0.00292562996,156.973343,0.75999999,0.0170869045,1.04536653,0.167626247,-0.0266868398,0.383427531,-0
254684752,19,2.14285707,0,0,0.000256290659,1.33469832,1.02867413,0.0199999996,0.00292562996,157.619461,0.75999999,0.0146843726,1.04266226,0.167626247,-0.015364198,0.381270319,-0
254704744,19,2.14285707,0,0,0.000335196499,1.33469832,1.02867413,0.0199999996,0.00292562996,155.476456,0.75999999,0.019205343,1.03206718,0.167626247,-0.0246326216,0.37970373,-0
254724736,19,2.14285707,0,0,0.000286787748,1.13050807,1.02866495,0.0199999996,0.00292562996,157.0224,0.75999999,0.0164317265,1.03271627,0.167626247,-0.00868797768,0.378569365,-0
254744728,19,2.14285707,0,0,0.000228972407,1.13050807,1.02866495,0.0199999996,0.00292562996,158.082886,0.75999999,0.0131191518,1.03497612,0.167626247,0.000483220065,0.377743125,-0
254764720,19,2.14285707,0,0,0.000282194698,1.13050807,1.02866495,0.0199999996,0.00292562996,156.380539,0.75999999,0.0161685646,1.02910268,0.167626247,-0.0100664981,0.377143055,-0
254784712,19,2.14285707,0,0,0.000280927867,1.13050807,1.02866495,0.0199999996,0.00292562996,156.636063,0.75999999,0.016095981,1.02798796,0.167626247,-0.00596093619,0.376707315,-0
254804704,19,2.14285707,0,0,0.000286145834,1.13050807,1.02866495,0.0199999996,0.00292562996,156.607391,0.75999999,0.0163949486,1.02669382,0.167626247,-0.00463709515,0.376390904,-0
254824696,19,2.14285707,0,0,0.000304014655,1.03056562,1.02867949,0.0199999996,0.00292562996,156.299347,0.75999999,0.0174187552,1.02464283,0.167626247,-0.00543136988,0.376155764,-0
254844688,19,2.14285707,0,0,0.000323528657,1.03056562,1.02867949,0.0199999996,0.00292562996,156.058395,0.75999999,0.0185368247,1.02263737,0.167626247,-0.00566854887,0.375988871,-0
254864680,19,2.14285707,0,0,0.000256306725,1.03056562,1.02867949,0.0199999996,0.00292562996,157.751587,0.75999999,0.0146852927,1.02760506,0.167626247,0.00641689356,0.375867665,-0
