time_us,in_ms,in_dr,in_gs,in_yr,in_rv,in_ig,out_out,out_tgt,out_act,out_P,out_I,out_D,out_F
99084517,99084,2.41333318,19.2869835,0.00935305096,0,0.0165505484,14,2.41333318,0.535890341,0.12112388,0.0172319002,0.00194684963,0
99104509,99104,2.41333318,19.2092113,0.00962323695,0,0.0172319002,14,2.41333318,0.551370859,0.12161427,0.017913118,0.00193861395,0
99124501,99124,2.54666662,19.1326237,0.00992391072,0,0.017913118,14,2.54666662,0.568598151,0.128847003,0.0186426193,0.00206774403,0
99144493,99144,2.54666662,19.0572758,0.0102864131,0,0.0186426193,15,2.54666662,0.589368045,0.129356444,0.0193701796,0.00205412181,0
99164485,99164,2.54666662,18.9832458,0.0107262395,0,0.0193701796,15,2.54666662,0.614568233,0.129860893,0.0200939849,0.00203558267,0
99184477,99184,2.54666662,18.9106159,0.0112371547,0,0.0200939849,15,2.54666662,0.643841505,0.13035965,0.0208123103,0.00201244117,0
99204469,99204,2.54666662,18.8394146,0.0117795495,0,0.0208123103,15,2.54666662,0.674918413,0.130852327,0.0215242561,0.00198705541,0
99224461,99224,2.69333339,18.769722,0.0123671014,0,0.0215242561,16,2.69333339,0.708582699,0.138902187,0.0222848002,0.00211484288,0
99244453,99244,2.69333339,18.7015724,0.0129441293,0,0.0222848002,16,2.69333339,0.741643965,0.13940835,0.0230381358,0.00208719284,0
99264445,99264,2.69333339,18.6351299,0.013666586,0,0.0230381358,16,2.69333339,0.783037663,0.139905393,0.0237807613,0.00205020909,0
99284437,99284,2.69333339,18.5702629,0.0143783558,0,0.0237807613,16,2.69333339,0.823819041,0.140394092,0.0245126188,0.00201344956,0
99304429,99304,2.69333339,18.5070286,0.015200749,0,0.0245126188,16,2.69333339,0.870938718,0.14087379,0.0252309144,0.00196940801,0
99324421,99324,2.85333323,18.4453754,0.0160773788,0,0.0252309144,17,2.85333323,0.921165884,0.149741367,0.0259975754,0.00209501525,0
99344413,99344,2.85333323,18.3852539,0.0169616304,0,0.0259975754,17,2.85333323,0.971829772,0.150231048,0.0267490242,0.00204675272,0
99364405,99364,2.85333323,18.3266563,0.0177323241,0,0.0267490242,18,2.85333323,1.01598728,0.150711387,0.0274875369,0.00200510747,0
99384397,99384,2.85333323,18.2694778,0.0187098198,0,0.0274875369,18,2.85333323,1.07199371,0.151183069,0.0282080267,0.00195007154,0
99404389,99404,2.85333323,18.2136345,0.0194751211,0,0.0282080267,18,2.85333323,1.11584222,0.151646614,0.0289150979,0.00190790137,0
99424381,99424,3.02666664,18.1590767,0.02027498,0,0.0289150979,19,3.02666664,1.16167068,0.16134207,0.0296786241,0.00205406477,0
99444373,99444,3.02666664,18.1056747,0.0211413708,0,0.0296786241,19,3.02666664,1.21131122,0.161817938,0.0304262191,0.00200528884,0
99464365,99464,3.02666664,18.0537434,0.0219099149,0,0.0304262191,19,3.02666664,1.25534558,0.162283406,0.0311598815,0.00196227571,0
99484357,99484,3.02666664,18.0026569,0.0228573289,0,0.0311598815,19,3.02666664,1.30962837,0.162743926,0.0318751037,0.00190753874,0
99504349,99504,3.02666664,17.9523182,0.0234929621,0,0.0318751037,19,3.02666664,1.34604752,0.163200244,0.0325790867,0.00187231414,0
99524341,99524,3.18666649,17.9025173,0.0242665596,0,0.0325790867,20,3.18666649,1.39037132,0.172305569,0.0333357155,0.00200675149,0
99544333,99544,3.18666649,17.8531361,0.0249812193,0,0.0333357155,20,3.18666649,1.4313184,0.172782153,0.0340791941,0.00196643104,0
