time_us,in_us,in_ms,in_la,in_ln,in_gx,in_gy,in_yw,in_ys,in_pt,in_e2,in_pa,in_po,in_na,in_no,in_dm,out_lad,out_nrc,out_nbr,out_ber,out_xte,out_tbc,out_l1d,out_xti,out_enu,out_exi
104105008,104105008,104105,-353628113,1491652132,9.7900934219360352,-2.355659008026123,-0.23831909894943237,34635,-0.021563993766903877,1.0288542509078979,-353650090,1491654820,-353590589,1491646959,0,0.46383631229400635,270,-0.1627497673034668,0.073378078639507294,-1.9456615447998047,35359,36.058784484863281,-0.0014379597268998623,0.074537009000778198,-0.0013300343416631222
104204968,104204968,104204,-353628024,1491652106,9.6997995376586914,-2.2943949699401855,-0.23441928625106812,34657,-0.021984323859214783,1.0288443565368652,-353650090,1491654820,-353590498,1491646947,0,0.45349541306495667,264,-0.15979623794555664,0.072475060820579529,-1.8170452117919922,35360,35.693359375,-0.0015397771494463086,0.073378078639507294,-0.0014379597268998623
104304928,104304928,104304,-353627936,1491652081,9.6130046844482422,-2.2369203567504883,-0.23075138032436371,34678,-0.026833536103367805,1.0288385152816772,-353650090,1491654820,-353590409,1491646935,0,0.44379803538322449,259,-0.15700340270996094,0.071625396609306335,-1.6971492767333984,35362,35.343753814697266,-0.0016358124557882547,0.072475060820579529,-0.0015397771494463086
104404888,104404888,104404,-353627849,1491652056,9.5303993225097656,-2.1835899353027344,-0.22724395990371704,34698,-0.034832634031772614,1.0288314819335938,-353650090,1491654820,-353590321,1491646924,0,0.43725878000259399,255,-0.15399408340454102,0.071236878633499146,-1.5731525421142578,35364,35.012557983398438,-0.0017256689025089145,0.071625396609306335,-0.0016358124557882547
104504848,104504848,104504,-353627763,1491652032,9.4563131332397461,-2.1344225406646729,-0.22377945482730865,34718,-0.04399171844124794,1.028835654258728,-353650090,1491654820,-353590234,1491646912,0,0.43066239356994629,251,-0.15123081207275391,0.070763193070888519,-1.4607830047607422,35365,34.714817047119141,-0.0018098191358149052,0.071236878633499146,-0.0017256689025089145
104604808,104604808,104604,-353627678,1491652009,9.3900604248046875,-2.0886306762695312,-0.22025258839130402,34739,-0.051941204816102982,1.0288301706314087,-353650090,1491654820,-353590148,1491646901,0,0.42489862442016602,248,-0.14850950241088867,0.070357337594032288,-1.3533344268798828,35367,34.447452545166016,-0.0018883817829191685,0.070763193070888519,-0.0018098191358149052
104704768,104704768,104704,-353627593,1491651986,9.3302192687988281,-2.0447652339935303,-0.2165856659412384,34760,-0.056366585195064545,1.0288361310958862,-353650090,1491654820,-353590062,1491646889,0,0.41927394270896912,245,-0.14582538604736328,0.069918721914291382,-1.2492561340332031,35368,34.204338073730469,-0.0019614154007285833,0.070357337594032288,-0.0018883817829191685
104804728,104804728,104804,-353627510,1491651963,9.2764787673950195,-2.0018718242645264,-0.21273079514503479,34782,-0.055555809289216995,1.02881920337677,-353650090,1491654820,-353589978,1491646878,0,0.41479656100273132,242,-0.14292049407958984,0.069620788097381592,-1.1403045654296875,35369,33.983646392822266,-0.0020285102073103189,0.069918721914291382,-0.0019614154007285833
104904688,104904688,104904,-353627427,1491651942,9.2260770797729492,-1.9585312604904175,-0.20866641402244568,34805,-0.048866461962461472,1.0288207530975342,-353650090,1491654820,-353589894,1491646867,0,0.40668487548828125,237,-0.14049673080444336,0.068680137395858765,-1.0494155883789062,35371,33.774673461914062,-0.0020906375721096992,0.069620788097381592,-0.0020285102073103189
105004648,105004648,105004,-353627344,1491651921,9.1750144958496094,-1.9136196374893188,-0.20442035794258118,34829,-0.036930833011865616,1.028822660446167,-353650090,1491654820,-353589811,1491646856,0,0.39758619666099548,232,-0.13805484771728516,0.067566081881523132,-0.9589691162109375,35372,33.562618255615234,-0.0021477674599736929,0.068680137395858765,-0.0020906375721096992
