#frames
class,type,ok,motor,roll,pitch,yaw,throttle,order
5,15,1,1,1056964608,1048563415,3204448256,1065353216,5
5,15,1,2,1056964608,1048563415,1056964608,1065353216,6
5,15,1,3,0,3204448256,3204448256,1065353216,4
5,15,1,4,3204448256,1048563415,3204448256,1065353216,1
5,15,1,5,0,3204448256,1056964608,1065353216,3
5,16,1,0,3204448256,1048563415,1056964608,1065353216,2
5,16,1,1,1056964608,1048563415,3204448256,1065353216,5
5,16,1,2,1056964608,1048563415,1056964608,1065353216,6
5,16,1,3,0,3204448256,3204448256,1065353216,4
5,16,1,4,3204448256,1048563415,3204448256,1065353216,1
5,16,1,5,0,3204448256,1056964608,1065353216,3
5,17,1,0,3204448256,1048563415,1056964608,1065353216,2
5,17,1,1,1056964608,1048563415,3204448256,1065353216,5
5,17,1,2,1056964608,1048563415,1056964608,1065353216,6
5,17,1,3,0,3204448256,3204448256,1065353216,4
5,17,1,4,3204448256,1048563415,3204448256,1065353216,1
5,17,1,5,0,3204448256,1056964608,1065353216,3
5,18,1,0,3204448256,1048563415,1056964608,1065353216,2
5,18,1,1,1056964608,1048563415,3204448256,1065353216,5
5,18,1,2,1056964608,1048563415,1056964608,1065353216,6
5,18,1,3,0,3204448256,3204448256,1065353216,4
5,18,1,4,3204448256,1048563415,3204448256,1065353216,1
5,18,1,5,0,3204448256,1056964608,1065353216,3
5,19,1,0,3204448256,1048563415,1056964608,1065353216,2
5,19,1,1,1056964608,1048563415,3204448256,1065353216,5
5,19,1,2,1056964608,1048563415,1056964608,1065353216,6
5,19,1,3,0,3204448256,3204448256,1065353216,4
5,19,1,4,3204448256,1048563415,3204448256,1065353216,1
5,19,1,5,0,3204448256,1056964608,1065353216,3
5,20,1,0,3204448256,1048563415,1056964608,1065353216,2
5,20,1,1,1056964608,1048563415,3204448256,1065353216,5
5,20,1,2,1056964608,1048563415,1056964608,1065353216,6
5,20,1,3,0,3204448256,3204448256,1065353216,4
5,20,1,4,3204448256,1048563415,3204448256,1065353216,1
5,20,1,5,0,3204448256,1056964608,1065353216,3
5,21,1,0,3204448256,1048563415,1056964608,1065353216,2
5,21,1,1,1056964608,1048563415,3204448256,1065353216,5
5,21,1,2,1056964608,1048563415,1056964608,1065353216,6
5,21,1,3,0,3204448256,3204448256,1065353216,4
5,21,1,4,3204448256,1048563415,3204448256,1065353216,1
5,21,1,5,0,3204448256,1056964608,1065353216,3
5,22,1,0,3204448256,1048563415,1056964608,1065353216,2
5,22,1,1,1056964608,1048563415,3204448256,1065353216,5
5,22,1,2,1056964608,1048563415,1056964608,1065353216,6
5,22,1,3,0,3204448256,3204448256,1065353216,4
5,22,1,4,3204448256,1048563415,3204448256,1065353216,1
5,22,1,5,0,3204448256,1056964608,1065353216,3
5,23,1,0,3204448256,1048563415,1056964608,1065353216,2
5,23,1,1,1056964608,1048563415,3204448256,1065353216,5
5,23,1,2,1056964608,1048563415,1056964608,1065353216,6
5,23,1,3,0,3204448256,3204448256,1065353216,4
5,23,1,4,3204448256,1048563415,3204448256,1065353216,1
5,23,1,5,0,3204448256,1056964608,1065353216,3
5,24,1,0,3204448256,1048563415,1056964608,1065353216,2
