#notch
scenario,step,in,out_f,out_x,out_y,out_z
serviced,85,1068667334,1070198917,1070198917,1078587525,3217682565
serviced,86,1065644810,1069629905,1069629905,1078018513,3217113553
serviced,87,1062093714,1068803739,1068803739,1077192347,3216287387
serviced,88,1061851759,1068039270,1068039270,1076427878,3215522918
serviced,89,1065212746,1067553448,1067553448,1075942056,3215037096
serviced,90,1068067846,1067407045,1067407045,1075795653,3214890693
serviced,91,1070828594,1067516949,1067516949,1075905557,3215000597
serviced,92,1072437001,1067716759,1067716759,1076105367,3215200407
serviced,93,1072196614,1067834476,1067834476,1076223084,3215318124
serviced,94,1070109584,1067756719,1067756719,1076145327,3215240367
serviced,95,1066876549,1067459072,1067459072,1075847680,3214942720
serviced,96,1061906805,1066998584,1066998584,1075387192,3214482232
serviced,97,1057651839,1066477774,1066477774,1074866382,3213961422
serviced,98,1057037057,1065998730,1065998730,1074387338,3213482378
serviced,99,1060067946,1065625480,1065625480,1074014088,3213109128
serviced,100,1065353230,1065366982,1065366982,1073755590,3212850630
serviced,101,1067995873,1065014281,1065014281,1073402889,3212497929
serviced,102,1069511298,1064670377,1064670377,1073058985,3212154025
serviced,103,1069203896,1064231730,1064231730,1072620338,3211715378
serviced,104,1067076399,1063638957,1063638957,1072027565,3211122605
serviced,105,1062306578,1062909301,1062909301,1071297909,3210392949
serviced,106,1054716326,1062122655,1062122655,1070511263,3209606303
serviced,107,1044160392,1061385497,1061385497,1069774105,3208869145
serviced,108,1042237432,1060786536,1060786536,1069175144,3208270184
serviced,109,1051840284,1060364380,1060364380,1068752988,3207848028
serviced,110,1059923969,1060097395,1060097395,1068486003,3207581043
serviced,111,1065423487,1059917871,1059917871,1068306479,3207401519
serviced,112,1067103953,1059743451,1059743451,1068132059,3207227099
serviced,113,1066982972,1059512920,1059512920,1067901528,3206996568
serviced,114,1064770016,1059210814,1059210814,1067599422,3206694462
serviced,115,1058724962,1058873062,1058873062,1067261670,3206356710
serviced,116,1048449736,1058571769,1058571769,1066960377,3206055417
serviced,117,1022504768,1058385983,1058385983,1066774591,3205869631
serviced,118,1023751104,1058370418,1058370418,1066759026,3205854066
serviced,119,1048809612,1058534362,1058534362,1066922970,3206018010
ins_rate,0,0,0,0,0,2147483648
ins_rate,1,1053284172,1052966333,1052966333,1061354941,3200449981
ins_rate,2,1059407144,1058837786,1058837786,1067226394,3206321434
ins_rate,3,1060021926,1058955926,1058955926,1067344534,3206439574
ins_rate,4,1056961955,1054050308,1054050308,1062438916,3201533956
ins_rate,5,1043985495,1035052536,1035052536,1043441144,3182536184
ins_rate,6,3188566307,3194272347,3194272347,3202660955,1046788699
ins_rate,7,3198592040,3200658396,3200658396,3209047004,1053174748
ins_rate,8,3197630500,3198776731,3198776731,3207165339,1051293083
ins_rate,9,3176632112,3179837620,3179837620,3188226228,1032353972
ins_rate,10,1051045839,1050722760,1050722760,1059111368,3198206408
ins_rate,11,1060269182,1059875686,1059875686,1068264294,3207359334
ins_rate,12,1064221842,1063368423,1063368423,1071757031,3210852071
ins_rate,13,1064463791,1063089811,1063089811,1071478419,3210573459
ins_rate,14,1060992886,1059231951,1059231951,1067620559,3206715599
ins_rate,15,1053443921,1049711082,1049711082,1058099690,3197194730
ins_rate,16,1027514392,3176326400,3176326400,3184715008,1028842752
ins_rate,17,3190746732,3195421294,3195421294,3203809902,1047937646
ins_rate,18,3190945150,3193353190,3193353190,3201741798,1045869542
ins_rate,19,1025140408,1022521504,1022521504,1030910112,3170005152
ins_rate,20,1068544434,1068382884,1068382884,1076771492,3215866532
ins_rate,21,1071391108,1070801647,1070801647,1079190255,3218285295
ins_rate,22,1073080438,1071986939,1071986939,1080375547,3219470587
ins_rate,23,1072915262,1071329201,1071329201,1079717809,3218812849
ins_rate,24,1070897048,1068929751,1068929751,1077318359,3216413399
ins_rate,25,1067725869,1065564121,1065564121,1073952729,3213047769
ins_rate,26,1063714048,1059421732,1059421732,1067810340,3206905380
ins_rate,27,1059551640,1054307332,1054307332,1062695940,3201790980
ins_rate,28,1059012566,1054339076,1054339076,1062727684,3201822724
ins_rate,29,1062101589,1059277416,1059277416,1067666024,3206761064
ins_rate,30,1066390105,1064968194,1064968194,1073356802,3212451842
ins_rate,31,1069043604,1067884802,1067884802,1076273410,3215368450
ins_rate,32,1070560590,1069392224,1069392224,1077780832,3216875872
ins_rate,33,1070245436,1069063608,1069063608,1077452216,3216547256
ins_rate,34,1068100942,1066991095,1066991095,1075379703,3214474743
ins_rate,35,1064303389,1062530468,1062530468,1070919076,3210014116
ins_rate,36,1057767448,1056583364,1056583364,1064971972,3204067012
ins_rate,37,1050048064,1050108132,1050108132,1058496740,3197591780
ins_rate,38,1048879818,1051118177,1051118177,1059506785,3198601825
ins_rate,39,1055075912,1058089240,1058089240,1066477848,3205572888
ins_rate,40,1061408664,1064129986,1064129986,1072518594,3211613634
ins_rate,41,1066092645,1067603066,1067603066,1075991674,3215086714
ins_rate,42,1067694027,1069209984,1069209984,1077598592,3216693632
ins_rate,43,1067488717,1068943887,1068943887,1077332495,3216427535
ins_rate,44,1065478543,1066898865,1066898865,1075287473,3214382513
ins_rate,45,1059373752,1062336690,1062336690,1070725298,3209820338
ins_rate,46,1049428890,1056063568,1056063568,1064452176,3203547216
ins_rate,47,1027167968,1049360124,1049360124,1057748732,3196843772
ins_rate,48,1024806400,1050065760,1050065760,1058454368,3197549408
ins_rate,49,1048515848,1057383411,1057383411,1065772019,3204867059
ins_rate,50,1058642343,1063228290,1063228290,1071616898,3210711938
ins_rate,51,1064588966,1067051779,1067051779,1075440387,3214535427
ins_rate,52,1066844034,1068561320,1068561320,1076949928,3216044968
ins_rate,53,1066917826,1068206244,1068206244,1076594852,3215689892
ins_rate,54,1065030413,1066085619,1066085619,1074474227,3213569267
ins_rate,55,1059373785,1060594852,1060594852,1068983460,3208078500
ins_rate,56,1050575720,1052436292,1052436292,1060824900,3199919940
ins_rate,57,1038617600,1042803516,1042803516,1051192124,3190287164
ins_rate,58,1041044944,1044349552,1044349552,1052738160,3191833200
ins_rate,59,1053032162,1054384162,1054384162,1062772770,3201867810
ins_rate,60,1061408656,1061672356,1061672356,1070060964,3209156004
ins_rate,61,1066603578,1066380820,1066380820,1074769428,3213864468
ins_rate,62,1068711363,1068027134,1068027134,1076415742,3215510782
ins_rate,63,1069003423,1067837130,1067837130,1076225738,3215320778
ins_rate,64,1067477167,1065907670,1065907670,1074296278,3213391318
ins_rate,65,1064303424,1060667688,1060667688,1069056296,3208151336
ins_rate,66,1059014984,1053518292,1053518292,1061906900,3201001940
ins_rate,67,1055016106,1046965744,1046965744,1055354352,3194449392
ins_rate,68,1056276738,1049588146,1049588146,1057976754,3197071794
ins_rate,69,1060900298,1057772173,1057772173,1066160781,3205255821
ins_rate,70,1086583962,1085939654,1085939654,1094328262,3233423302
ins_rate,71,1069644256,1066001139,1066001139,1074389747,3213484787
ins_rate,72,1071756536,1068065916,1068065916,1076454524,3215549564
ins_rate,73,1072026080,1068310840,1068310840,1076699448,3215794488
ins_rate,74,1070450477,1066822374,1066822374,1075210982,3214306022
ins_rate,75,1067725854,1063370496,1063370496,1071759104,3210854144
ins_rate,76,1064607198,1058789194,1058789194,1067177802,3206272842
ins_rate,77,1061330009,1056460640,1056460640,1064849248,3203944288
ins_rate,78,1061660366,1058352904,1058352904,1066741512,3205836552
ins_rate,79,1065474290,1063498830,1063498830,1071887438,3210982478
ins_rate,80,1068544439,1067971273,1067971273,1076359881,3215454921
ins_rate,81,1071586276,1071328230,1071328230,1079716838,3218811878
ins_rate,82,1073469028,1073396271,1073396271,1081784879,3220879919
ins_rate,83,1073493830,1073552326,1073552326,1081940934,3221035974
ins_rate,84,1071660464,1071886285,1071886285,1080274893,3219369933
ins_rate,85,1068667334,1069164434,1069164434,1077553042,3216648082
ins_rate,86,1065644810,1066535034,1066535034,1074923642,3214018682
ins_rate,87,1062093714,1064823188,1064823188,1073211796,3212306836
ins_rate,88,1061851759,1065438563,1065438563,1073827171,3212922211
ins_rate,89,1065212746,1067489967,1067489967,1075878575,3214973615
ins_rate,90,1068067846,1070471961,1070471961,1078860569,3217955609
ins_rate,91,1070828594,1073234365,1073234365,1081622973,3220718013
