#declination
lat,lon,intensity,declination,inclination,covered
1098907648,3265003520,1052577796,3235872489,1110100827,1
1098907648,3264741376,1052490380,3238139089,1109956990,1
1098907648,3264479232,1052402964,3239340589,1109813152,1
1098907648,3264217088,1052315548,3240542090,1109669315,1
1098907648,3263954944,1052228132,3241743590,1109525478,1
1098907648,3263692800,1052127562,3242567424,1109243095,1
1098907648,3263430656,1052026994,3243391258,1108960712,1
1098907648,3263168512,1051926424,3244215093,1108678329,1
1098907648,3262644224,1051825854,3245038926,1108395946,1
1098907648,3262119936,1051725285,3245862761,1108113563,1
1098907648,3261595648,1051643841,3246103395,1107726599,1
1098907648,3261071360,1051562398,3246344029,1107339635,1
1098907648,3260547072,1051480955,3246487979,1106609086,1
1098907648,3260022784,1051399512,3246608296,1105835158,1
1098907648,3259498496,1051318068,3246728613,1105061230,1
1098907648,3258974208,1051280340,3246557449,1104250134,1
1098907648,3258449920,1051242611,3246381274,1103439038,1
1098907648,3257925632,1051204883,3246038945,1102627942,1
1098907648,3257401344,1051167154,3245696616,1101816845,1
1098907648,3256877056,1051129425,3245354288,1101005750,1
1098907648,3256352768,1051136619,3244624676,1100356053,1
1098907648,3255828480,1051143813,3243895065,1099706356,1
1098907648,3255304192,1051151008,3243165454,1099056660,1
1098907648,3254779904,1051158202,3242435842,1097906278,1
1098907648,3253731328,1051165396,3241706231,1096606887,1
1098907648,3252682752,1051202439,3240829877,1095846965,1
1098907648,3251634176,1051239484,3239953522,1095087043,1
1098907648,3250585600,1051276528,3239077167,1094327122,1
1098907648,3249537024,1051313572,3238200812,1093567202,1
1098907648,3248488448,1051350616,3236646229,1092807280,1
1098907648,3247439872,1051406289,3235025888,1092598212,1
1098907648,3246391296,1051461963,3233405547,1092389145,1
1098907648,3244294144,1051517636,3231785206,1092180079,1
1098907648,3242196992,1051573310,3230164865,1091971010,1
1098907648,3240099840,1051628984,3227474968,1091761944,1
1098907648,3238002688,1051694415,3225129656,1091920962,1
1098907648,3233808384,1051759846,3222784344,1092079980,1
1098907648,3229614080,1051825277,3219652590,1092238998,1
1098907648,3221225472,1051890708,3214961966,1092398016,1
1098907648,0,1051956139,3207705820,1092557034,1
1098907648,1073741824,1052018040,3198103528,1092855355,1
1098907648,1082130432,1052079942,1033119648,1093153675,1
1098907648,1086324736,1052141843,1055474620,1093451998,1
1098907648,1090519040,1052203744,1062649541,1093750317,1
1098907648,1092616192,1052265645,1067216342,1094048637,1
1098907648,1094713344,1052319077,1069919578,1094486206,1
1098907648,1096810496,1052372509,1072622814,1094923776,1
1098907648,1098907648,1052425942,1074533937,1095361346,1
1098907648,1099956224,1052479373,1075885554,1095798915,1
1098907648,1101004800,1052532806,1077237173,1096236483,1
1098907648,1102053376,1052588935,1077944941,1096880524,1
1098907648,1103101952,1052645065,1078652710,1097524566,1
1098907648,1104150528,1052701196,1079360479,1098168607,1
1098907648,1105199104,1052757325,1080068247,1098812649,1
1098907648,1106247680,1052813455,1080776016,1099182169,1
1098907648,1107296256,1052882228,1080210137,1099501924,1
1098907648,1107820544,1052951001,1079644258,1099821680,1
1098907648,1108344832,1053019774,1079078379,1100141434,1
1098907648,1108869120,1053088547,1078512501,1100461190,1
1098907648,1109393408,1053157320,1077946622,1100780945,1
1098907648,1109917696,1053234455,1076619956,1100956278,1
1098907648,1110441984,1053311590,1075293289,1101131612,1
1098907648,1110966272,1053388726,1073966622,1101306945,1
1098907648,1111490560,1053465861,1071538086,1101482279,1
1098907648,1112014848,1053542996,1068884753,1101657612,1
1098907648,1112539136,1053623432,1066776776,1101692633,1
1098907648,1113063424,1053703869,1063984384,1101727653,1
1098907648,1113587712,1053784306,1059768430,1101762673,1
1098907648,1114112000,1053864742,1054140344,1101797693,1
1098907648,1114636288,1053945179,1042840880,1101832713,1
1098907648,1115160576,1054027213,1024247904,1101812355,1
1098907648,1115684864,1054109247,3183751664,1101791997,1
1098907648,1115947008,1054191281,3194446864,1101771638,1
1098907648,1116209152,1054273315,3199621008,1101751280,1
1098907648,1116471296,1054355348,3203988760,1101730922,1
1098907648,1116733440,1054428738,3205355171,1101691024,1
1098907648,1116995584,1054502129,3206491835,1101651127,1
1098907648,1117257728,1054575519,3207628498,1101611230,1
1098907648,1117519872,1054648910,3208765161,1101571333,1
1098907648,1117782016,1054722299,3209901824,1101531436,1
1098907648,1118044160,1054768135,3210107217,1101492360,1
1098907648,1118306304,1054813970,3210312611,1101453284,1
1098907648,1118568448,1054859805,3210518004,1101414208,1
1098907648,1118830592,1054905640,3210723398,1101375133,1
1098907648,1119092736,1054951476,3210928790,1101336058,1
1098907648,1119354880,1054956134,3211170208,1101340552,1
1098907648,1119617024,1054960791,3211411626,1101345046,1
1098907648,1119879168,1054965448,3211653043,1101349542,1
1098907648,1120141312,1054970106,3211894461,1101354036,1
1098907648,1120403456,1054974763,3212135878,1101358531,1
1098907648,1120665600,1054934095,3213750031,1101374595,1
1098907648,1120927744,1054893427,3215013691,1101390659,1
1098907648,1121189888,1054852759,3216277352,1101406723,1
1098907648,1121452032,1054812091,3217541011,1101422788,1
1098907648,1121714176,1054771423,3218804670,1101438851,1
1098907648,1121976320,1054686396,3220705787,1101356738,1
1098907648,1122238464,1054601369,3221916188,1101274625,1
1098907648,1122500608,1054516342,3222866746,1101192512,1
1098907648,1122762752,1054431316,3223817306,1101110400,1
1098907648,1123024896,1054346288,3224767864,1101028286,1
1098907648,1123287040,1054226177,3224876395,1100843687,1
1098907648,1123549184,1054106066,3224984928,1100659088,1
1098907648,1123811328,1053985954,3225093459,1100474488,1
1098907648,1124073472,1053865843,3225201991,1100289889,1
1098907648,1124204544,1053745731,3225310524,1100105290,1
1098907648,1124335616,1053610748,3224062404,1099952420,1
1098907648,1124466688,1053475766,3222814284,1099799550,1
1098907648,1124597760,1053340783,3221566166,1099646678,1
1098907648,1124728832,1053205800,3219410621,1099493808,1
1098907648,1124859904,1053070818,3216914383,1099340938,1
1098907648,1124990976,1052943391,3212433858,1099323044,1
1098907648,1125122048,1052815965,3203303368,1099305149,1
1098907648,1125253120,1052688538,1026891680,1099287254,1
1098907648,1125384192,1052561112,1057875926,1099269359,1
1098907648,1125515264,1052433686,1065893593,1099251465,1
1098907648,1125646336,1052331023,1070880553,1099393338,1
1098907648,1125777408,1052228360,1074804670,1099535212,1
1098907648,1125908480,1052125697,1077298150,1099677085,1
1098907648,1126039552,1052023033,1079791630,1099818959,1
1098907648,1126170624,1051920370,1082207771,1099960832,1
1098907648,1126301696,1051853718,1083356648,1100257390,1
1098907648,1126432768,1051787066,1084505526,1100553946,1
1098907648,1126563840,1051720412,1085654404,1100850504,1
1098907648,1126694912,1051653760,1086803282,1101147062,1
1098907648,1126825984,1051587107,1087952160,1101443619,1
1098907648,1126957056,1051556372,1088670048,1101823952,1
1098907648,1127088128,1051525636,1089387936,1102204286,1
1098907648,1127219200,1051494900,1090105826,1102584620,1
1098907648,1127350272,1051464164,1090671377,1102964954,1
1098907648,1127481344,1051433428,1091030321,1103345288,0
1099956224,3274964992,1051511476,1090807658,1105059160,0
1099956224,3274833920,1051508443,1090955818,1105388569,1
1099956224,3274702848,1051505409,1091103979,1105717978,1
1099956224,3274571776,1051502376,1091252138,1106047384,1
1099956224,3274440704,1051499343,1091400298,1106376793,1
1099956224,3274309632,1051496309,1091548458,1106706202,1
1099956224,3274178560,1051507946,1091599905,1106942388,1
1099956224,3274047488,1051519583,1091651353,1107178574,1
1099956224,3273916416,1051531220,1091702800,1107355508,1
1099956224,3273785344,1051542856,1091754248,1107473602,1
1099956224,3273654272,1051554493,1091805695,1107591695,1
1099956224,3273523200,1051583162,1091897032,1107683698,1
1099956224,3273392128,1051611831,1091988369,1107775701,1
1099956224,3273261056,1051640499,1092079706,1107867703,1
1099956224,3273129984,1051669168,1092171043,1107959706,1
1099956224,3272998912,1051697837,1092262380,1108051710,1
1099956224,3272867840,1051749940,1092350922,1108148272,1
1099956224,3272736768,1051802044,1092439463,1108244835,1
1099956224,3272605696,1051854147,1092528006,1108341398,1
1099956224,3272474624,1051906251,1092616548,1108437960,1
1099956224,3272343552,1051958354,1092705090,1108534523,1
1099956224,3272212480,1052029852,1092675142,1108638580,1
1099956224,3272081408,1052101350,1092645194,1108742636,1
1099956224,3271950336,1052172847,1092615245,1108846692,1
1099956224,3271819264,1052244346,1092585298,1108950748,1
1099956224,3271688192,1052315843,1092555349,1109054805,1
1099956224,3271557120,1052393247,1092376302,1109158232,1
1099956224,3271294976,1052470650,1092197255,1109261659,1
1099956224,3271032832,1052548053,1092018209,1109365085,1
1099956224,3270770688,1052625456,1091839162,1109468512,1
1099956224,3270508544,1052702860,1091660115,1109571939,1
1099956224,3270246400,1052772210,1091318149,1109678701,1
1099956224,3269984256,1052841560,1090976182,1109785463,1
1099956224,3269722112,1052910911,1090634216,1109892224,1
1099956224,3269459968,1052980261,1090065461,1109998986,1
1099956224,3269197824,1053049611,1089381528,1110105748,1
1099956224,3268935680,1053095983,1088151088,1110211742,1
1099956224,3268673536,1053142356,1086920648,1110317737,1
1099956224,3268411392,1053188728,1085690208,1110423731,1
1099956224,3268149248,1053235100,1084459768,1110529726,1
1099956224,3267887104,1053281472,1083229327,1110635720,1
1099956224,3267624960,1053286183,1080374944,1110705015,1
1099956224,3267362816,1053290894,1076421664,1110774309,1
1099956224,3267100672,1053295606,1071194944,1110843604,1
1099956224,3266838528,1053300316,1061223554,1110912898,1
1099956224,3266576384,1053305027,3191944668,1110982192,1
1099956224,3266314240,1053256964,3215990130,1110962809,1
1099956224,3266052096,1053208900,3223587350,1110943425,1
1099956224,3265789952,1053160838,3228566898,1110924043,1
1099956224,3265527808,1053112774,3231580263,1110904659,1
1099956224,3265265664,1053064711,3234070037,1110885276,1
1099956224,3265003520,1052973657,3236412212,1110743244,1
1099956224,3264741376,1052882604,3238378537,1110601212,1
1099956224,3264479232,1052791551,3239549625,1110459179,1
1099956224,3264217088,1052700498,3240720713,1110317147,1
1099956224,3263954944,1052609444,3241891800,1110175115,1
1099956224,3263692800,1052503627,3242660795,1109907772,1
1099956224,3263430656,1052397810,3243429790,1109640429,1
1099956224,3263168512,1052291992,3244198785,1109373086,1
1099956224,3262644224,1052186175,3244967779,1109105744,1
1099956224,3262119936,1052080358,3245736774,1108838400,1
1099956224,3261595648,1051992928,3245922778,1108479686,1
1099956224,3261071360,1051905499,3246108782,1108120972,1
1099956224,3260547072,1051818069,3246294786,1107762258,1
1099956224,3260022784,1051730640,3246436043,1107403543,1
1099956224,3259498496,1051643211,3246529045,1106793403,1
1099956224,3258974208,1051598610,3246294863,1106050146,1
1099956224,3258449920,1051554009,3245922930,1105306886,1
1099956224,3257925632,1051509409,3245550998,1104563628,1
1099956224,3257401344,1051464808,3245179066,1103820369,1
1099956224,3256877056,1051420208,3244807134,1103077112,1
1099956224,3256352768,1051420114,3244078405,1102483371,1
1099956224,3255828480,1051420020,3243349675,1101889630,1
1099956224,3255304192,1051419926,3242620945,1101295890,1
1099956224,3254779904,1051419832,3241892216,1100702148,1
1099956224,3253731328,1051419738,3241163486,1100108407,1
1099956224,3252682752,1051450742,3240303001,1099761691,1
1099956224,3251634176,1051481747,3239442516,1099414975,1
1099956224,3250585600,1051512751,3238582031,1099068260,1
1099956224,3249537024,1051543756,3237440404,1098535441,1
1099956224,3248488448,1051574759,3235719434,1097842010,1
1099956224,3247439872,1051627158,3234130321,1097663652,1
1099956224,3246391296,1051679557,3232541208,1097485294,1
1099956224,3244294144,1051731955,3230952094,1097306939,1
1099956224,3242196992,1051784354,3229111880,1097128580,1
1099956224,3240099840,1051836753,3225933654,1096950222,1
1099956224,3238002688,1051901915,3223642121,1097121978,1
1099956224,3233808384,1051967078,3221350588,1097293737,1
1099956224,3229614080,1052032241,3216892637,1097465495,1
1099956224,3221225472,1052097404,3211782280,1097637252,1
1099956224,0,1052162566,3200784044,1097809010,1
1099956224,1073741824,1052226333,3166736896,1098108218,1
1099956224,1082130432,1052290100,1051722854,1098407428,1
1099956224,1086324736,1052353866,1060505850,1098706638,1
1099956224,1090519040,1052417634,1066010590,1098956748,1
1099956224,1092616192,1052481400,1069091650,1099106353,1
1099956224,1094713344,1052538483,1071667610,1099315195,1
1099956224,1096810496,1052595566,1073992697,1099524037,1
1099956224,1098907648,1052652649,1075280678,1099732880,1
1099956224,1099956224,1052709731,1076568657,1099941722,1
1099956224,1101004800,1052766814,1077856638,1100150564,1
1099956224,1102053376,1052827628,1078562965,1100451627,1
1099956224,1103101952,1052888442,1079269292,1100752689,1
1099956224,1104150528,1052949257,1079975620,1101053751,1
1099956224,1105199104,1053010071,1080681948,1101354814,1
1099956224,1106247680,1053070884,1081388275,1101655876,1
1099956224,1107296256,1053142517,1080891753,1101954954,1
1099956224,1107820544,1053214149,1080395232,1102254030,1
1099956224,1108344832,1053285780,1079898710,1102553107,1
1099956224,1108869120,1053357412,1079402189,1102852184,1
1099956224,1109393408,1053429044,1078905667,1103151262,1
1099956224,1109917696,1053505226,1077654690,1103316708,1
1099956224,1110441984,1053581408,1076403714,1103482155,1
1099956224,1110966272,1053657591,1075152738,1103647601,1
1099956224,1111490560,1053733773,1073901761,1103813048,1
1099956224,1112014848,1053809955,1071559745,1103978494,1
1099956224,1112539136,1053886848,1069521790,1104012894,1
1099956224,1113063424,1053963742,1067483835,1104047292,1
1099956224,1113587712,1054040635,1065445879,1104081690,1
1099956224,1114112000,1054117528,1061462632,1104116090,1
1099956224,1114636288,1054194422,1057386722,1104150489,1
1099956224,1115160576,1054272818,1053355776,1104133948,1
1099956224,1115684864,1054351214,1048902712,1104117406,1
1099956224,1115947008,1054429611,1040323296,1104100864,1
1099956224,1116209152,1054508008,3149551104,1104084322,1
1099956224,1116471296,1054586404,3188570168,1104067782,1
1099956224,1116733440,1054657459,3194203496,1104034266,1
1099956224,1116995584,1054728514,3197948240,1104000750,1
1099956224,1117257728,1054799568,3200764904,1103967236,1
1099956224,1117519872,1054870624,3203581572,1103933721,1
1099956224,1117782016,1054941678,3205423246,1103900206,1
1099956224,1118044160,1054987044,3206189515,1103864943,1
1099956224,1118306304,1055032410,3206955785,1103829681,1
1099956224,1118568448,1055077775,3207722054,1103794418,1
1099956224,1118830592,1055123140,3208488324,1103759156,1
1099956224,1119092736,1055168506,3209254592,1103723892,1
1099956224,1119354880,1055174358,3210204633,1103721894,1
1099956224,1119617024,1055180210,3211154673,1103719894,1
1099956224,1119879168,1055186062,3212104712,1103717896,1
1099956224,1120141312,1055191914,3212945809,1103715897,1
1099956224,1120403456,1055197766,3213420829,1103713898,1
1099956224,1120665600,1055157434,3214970254,1103715416,1
1099956224,1120927744,1055117101,3216519681,1103716934,1
1099956224,1121189888,1055076769,3218069108,1103718451,1
1099956224,1121452032,1055036436,3219618534,1103719969,1
1099956224,1121714176,1054996104,3221167959,1103721487,1
1099956224,1121976320,1054907184,3222240604,1103627801,1
1099956224,1122238464,1054818265,3223284492,1103534115,1
1099956224,1122500608,1054729346,3224328381,1103440428,1
1099956224,1122762752,1054640427,3225372270,1103346742,1
1099956224,1123024896,1054551507,3226416158,1103253056,1
1099956224,1123287040,1054423436,3226606772,1103060678,1
1099956224,1123549184,1054295366,3226797386,1102868298,1
1099956224,1123811328,1054167295,3226988001,1102675920,1
1099956224,1124073472,1054039225,3227178615,1102483541,1
1099956224,1124204544,1053911155,3227369230,1102291162,1
1099956224,1124335616,1053767528,3226185898,1102125357,1
1099956224,1124466688,1053623902,3225002565,1101959553,1
1099956224,1124597760,1053480276,3223819233,1101793747,1
1099956224,1124728832,1053336649,3222635901,1101627942,1
1099956224,1124859904,1053193023,3221452569,1101462138,1
1099956224,1124990976,1053058980,3217414246,1101424653,1
1099956224,1125122048,1052924937,3213148827,1101387167,1
1099956224,1125253120,1052790893,3204929948,1101349682,1
1099956224,1125384192,1052656850,3164979456,1101312196,1
1099956224,1125515264,1052522806,1056570144,1101274711,1
1099956224,1125646336,1052416479,1066160284,1101394781,1
1099956224,1125777408,1052310152,1071260274,1101514852,1
1099956224,1125908480,1052203825,1075051043,1101634922,1
1099956224,1126039552,1052097497,1077601037,1101754993,1
1099956224,1126170624,1051991170,1080151031,1101875063,1
1099956224,1126301696,1051923887,1082343324,1102149927,1
1099956224,1126432768,1051856604,1083545917,1102424790,1
1099956224,1126563840,1051789320,1084748509,1102699654,1
1099956224,1126694912,1051722036,1085951102,1102974518,1
1099956224,1126825984,1051654753,1087153694,1103249382,1
1099956224,1126957056,1051626098,1087942211,1103611337,1
1099956224,1127088128,1051597442,1088730727,1103973294,1
1099956224,1127219200,1051568787,1089519244,1104335248,1
1099956224,1127350272,1051540132,1090307760,1104697204,1
1099956224,1127481344,1051511476,1090807658,1105059160,0
1101004800,3274964992,1051589524,1090584995,1106773032,0
1101004800,3274833920,1051590799,1090767200,1107090754,1
1101004800,3274702848,1051592074,1090949405,1107352366,1
1101004800,3274571776,1051593349,1091131609,1107511226,1
1101004800,3274440704,1051594624,1091313814,1107670087,1
1101004800,3274309632,1051595899,1091496019,1107828948,1
1101004800,3274178560,1051613750,1091572764,1107943914,1
1101004800,3274047488,1051631601,1091649510,1108058880,1
1101004800,3273916416,1051649452,1091726255,1108173846,1
1101004800,3273785344,1051667303,1091803001,1108288812,1
1101004800,3273654272,1051685154,1091879746,1108403778,1
1101004800,3273523200,1051721594,1091988624,1108493198,1
1101004800,3273392128,1051758034,1092097502,1108582618,1
1101004800,3273261056,1051794474,1092206379,1108672037,1
1101004800,3273129984,1051830914,1092315257,1108761457,1
1101004800,3272998912,1051867354,1092424135,1108850877,1
1101004800,3272867840,1051928557,1092526914,1108944666,1
1101004800,3272736768,1051989761,1092629693,1109038455,1
1101004800,3272605696,1052050964,1092732473,1109132244,1
1101004800,3272474624,1052112168,1092835252,1109226033,1
1101004800,3272343552,1052173371,1092938031,1109319822,1
