time_us,in_h,in_dh,in_hin,in_hdem,in_dhdem,in_spdem,in_sp,in_dsp,in_pmin,in_pmax,in_dspdem,in_f,out_th,out_ph
226504362,33.4490433,-3.60345912,30.6199989,31.7142258,-2.98548388,30.9112892,30.5004654,-5.0671339,-0.34906584,0.261799395,-0.00425508944,4,0.273498505,-0.255099177
226604322,33.0734291,-4.11997986,30.0699997,31.2076206,-3.05581474,30.9104633,30.122282,-5.42678404,-0.34906584,0.261799395,-0.00826212484,4,0.36725691,-0.278328478
226705115,32.6382141,-4.66539812,29.539999,30.6945,-3.12526584,30.910141,29.7609138,-4.93924999,-0.34906584,0.261799395,-0.00319805858,4,0.47153002,-0.302035779
226805075,32.1490936,-5.24367905,29.0100002,30.1908512,-3.19027638,30.9091797,29.4665661,-3.85081935,-0.34906584,0.261799395,-0.00961688347,4,0.545009613,-0.325782001
226905035,31.5893002,-5.83886528,28.5,29.6848869,-3.25400424,30.908432,29.2498417,-2.42992735,-0.34906584,0.261799395,-0.00747979851,4,0.581203043,-0.301859826
227104955,30.2939072,-6.83045483,27.4899998,28.6735458,-3.3753612,30.9067326,29.0101337,-0.176280305,-0.34906584,0.261799395,-0.00709817605,4,0.592780232,-0.253704548
227204915,29.5813236,-7.11510992,26.9799995,28.1681576,-3.43312001,30.9057026,28.906004,0.164739802,-0.34906584,0.261799395,-0.0103038047,4,0.608271837,-0.229497805
227304875,28.8522644,-7.14295387,26.4799995,27.6629562,-3.48901629,30.905014,28.7748795,0.252480209,-0.34906584,0.261799395,-0.00688828388,4,0.64472723,-0.212039977
227404835,28.1368523,-6.90237188,25.9799995,27.1579227,-3.5431118,30.9036083,28.630415,0.221332833,-0.34906584,0.261799395,-0.0140627846,4,0.686196148,-0.212967709
227504795,27.4650631,-6.40372896,25.4799995,26.6530571,-3.5954628,30.902338,28.4839897,0.211009741,-0.34906584,0.261799395,-0.0127080251,4,0.729333282,-0.216747627
227604755,26.8541813,-5.74540234,24.9899998,26.1483555,-3.64612508,30.9017258,28.3671207,0.333039939,-0.34906584,0.261799395,-0.00612503896,4,0.758399487,-0.220248744
227704715,26.3148708,-5.08465385,24.4899998,25.6438103,-3.69515347,30.9003639,28.2887497,0.576310277,-0.34906584,0.261799395,-0.0136239193,4,0.758919537,-0.222064853
227804675,25.8367882,-4.54174519,23.9899998,25.1394253,-3.7426002,30.8996048,28.2545815,0.769939125,-0.34906584,0.261799395,-0.00759428553,4,0.745055556,-0.224069253
227904635,25.4013195,-4.23130703,23.4899998,24.6351814,-3.78851819,30.8990879,28.2530766,0.902587235,-0.34906584,0.261799395,-0.00517098326,4,0.718325377,-0.225019038
228004595,24.9849968,-4.16685152,19.7600002,24.1310825,-3.83295512,30.7768936,28.2865543,0.961686909,-0.34906584,0.261799395,-1.22242689,4,0.632600009,-0.224742115
228104555,24.5639782,-4.28855467,19.1599998,23.6271248,-3.87595868,30.6543636,28.3283958,0.820177674,-0.34906584,0.261799395,-1.22578716,4,0.545616269,-0.226002261
228204515,24.1223774,-4.56239605,18.5699997,23.1232967,-3.91757655,30.5315609,28.3617268,0.410225004,-0.34906584,0.261799395,-1.22851431,4,0.457472265,-0.230186209
228304475,23.6477852,-4.8669591,17.9699993,22.6196022,-3.95785141,30.4088688,28.3469048,-0.363830864,-0.34906584,0.261799395,-1.22741604,4,0.368541181,-0.240157917
228404435,23.1452446,-5.10325623,17.3699989,22.1160336,-3.99682808,30.2868004,28.2670746,-1.34129024,-0.34906584,0.261799395,-1.22116375,4,0.365298361,-0.254181027
228504395,22.6241455,-5.28103447,16.7799988,21.6125832,-4.03454828,30.1658363,28.1257172,-2.21747208,-0.34906584,0.261799395,-1.21012294,4,0.423257917,-0.267056674
228604355,22.0858841,-5.45017719,16.1999989,21.109251,-4.07105207,30.046175,27.9586887,-2.49344254,-0.34906584,0.261799395,-1.1970892,4,0.484510273,-0.270197093
228704315,21.5277424,-5.63556051,15.6199999,20.6060333,-4.10637808,29.9274883,27.8341351,-2.10695791,-0.34906584,0.261799395,-1.18734837,4,0.522626281,-0.262431443
