#common
kind,a,b,c,out
f16_get,538,0,0,939950080
f16_get,539,0,0,939966464
f16_get,540,0,0,939982848
f16_get,541,0,0,939999232
f16_get,542,0,0,940015616
f16_get,543,0,0,940032000
f16_get,544,0,0,940048384
f16_get,545,0,0,940064768
f16_get,546,0,0,940081152
f16_get,547,0,0,940097536
f16_get,548,0,0,940113920
f16_get,549,0,0,940130304
f16_get,550,0,0,940146688
f16_get,551,0,0,940163072
f16_get,552,0,0,940179456
f16_get,553,0,0,940195840
f16_get,554,0,0,940212224
f16_get,555,0,0,940228608
f16_get,556,0,0,940244992
f16_get,557,0,0,940261376
f16_get,558,0,0,940277760
f16_get,559,0,0,940294144
f16_get,560,0,0,940310528
f16_get,561,0,0,940326912
f16_get,562,0,0,940343296
f16_get,563,0,0,940359680
f16_get,564,0,0,940376064
f16_get,565,0,0,940392448
f16_get,566,0,0,940408832
f16_get,567,0,0,940425216
f16_get,568,0,0,940441600
f16_get,569,0,0,940457984
f16_get,570,0,0,940474368
f16_get,571,0,0,940490752
f16_get,572,0,0,940507136
f16_get,573,0,0,940523520
f16_get,574,0,0,940539904
f16_get,575,0,0,940556288
f16_get,576,0,0,940572672
f16_get,577,0,0,940589056
f16_get,578,0,0,940605440
f16_get,579,0,0,940621824
f16_get,580,0,0,940638208
f16_get,581,0,0,940654592
f16_get,582,0,0,940670976
f16_get,583,0,0,940687360
f16_get,584,0,0,940703744
f16_get,585,0,0,940720128
f16_get,586,0,0,940736512
f16_get,587,0,0,940752896
f16_get,588,0,0,940769280
f16_get,589,0,0,940785664
f16_get,590,0,0,940802048
f16_get,591,0,0,940818432
f16_get,592,0,0,940834816
f16_get,593,0,0,940851200
f16_get,594,0,0,940867584
f16_get,595,0,0,940883968
f16_get,596,0,0,940900352
f16_get,597,0,0,940916736
f16_get,598,0,0,940933120
f16_get,599,0,0,940949504
f16_get,600,0,0,940965888
f16_get,601,0,0,940982272
f16_get,602,0,0,940998656
f16_get,603,0,0,941015040
f16_get,604,0,0,941031424
f16_get,605,0,0,941047808
f16_get,606,0,0,941064192
f16_get,607,0,0,941080576
f16_get,608,0,0,941096960
f16_get,609,0,0,941113344
f16_get,610,0,0,941129728
f16_get,611,0,0,941146112
f16_get,612,0,0,941162496
f16_get,613,0,0,941178880
f16_get,614,0,0,941195264
f16_get,615,0,0,941211648
f16_get,616,0,0,941228032
f16_get,617,0,0,941244416
f16_get,618,0,0,941260800
f16_get,619,0,0,941277184
f16_get,620,0,0,941293568
f16_get,621,0,0,941309952
f16_get,622,0,0,941326336
f16_get,623,0,0,941342720
f16_get,624,0,0,941359104
f16_get,625,0,0,941375488
f16_get,626,0,0,941391872
f16_get,627,0,0,941408256
f16_get,628,0,0,941424640
f16_get,629,0,0,941441024
f16_get,630,0,0,941457408
f16_get,631,0,0,941473792
f16_get,632,0,0,941490176
f16_get,633,0,0,941506560
f16_get,634,0,0,941522944
f16_get,635,0,0,941539328
f16_get,636,0,0,941555712
f16_get,637,0,0,941572096
f16_get,638,0,0,941588480
f16_get,639,0,0,941604864
f16_get,640,0,0,941621248
f16_get,641,0,0,941637632
f16_get,642,0,0,941654016
f16_get,643,0,0,941670400
f16_get,644,0,0,941686784
f16_get,645,0,0,941703168
f16_get,646,0,0,941719552
f16_get,647,0,0,941735936
f16_get,648,0,0,941752320
f16_get,649,0,0,941768704
f16_get,650,0,0,941785088
f16_get,651,0,0,941801472
f16_get,652,0,0,941817856
f16_get,653,0,0,941834240
f16_get,654,0,0,941850624
f16_get,655,0,0,941867008
f16_get,656,0,0,941883392
f16_get,657,0,0,941899776
f16_get,658,0,0,941916160
f16_get,659,0,0,941932544
f16_get,660,0,0,941948928
f16_get,661,0,0,941965312
f16_get,662,0,0,941981696
f16_get,663,0,0,941998080
f16_get,664,0,0,942014464
f16_get,665,0,0,942030848
f16_get,666,0,0,942047232
f16_get,667,0,0,942063616
f16_get,668,0,0,942080000
f16_get,669,0,0,942096384
f16_get,670,0,0,942112768
f16_get,671,0,0,942129152
f16_get,672,0,0,942145536
f16_get,673,0,0,942161920
f16_get,674,0,0,942178304
f16_get,675,0,0,942194688
f16_get,676,0,0,942211072
f16_get,677,0,0,942227456
f16_get,678,0,0,942243840
f16_get,679,0,0,942260224
f16_get,680,0,0,942276608
f16_get,681,0,0,942292992
f16_get,682,0,0,942309376
f16_get,683,0,0,942325760
f16_get,684,0,0,942342144
f16_get,685,0,0,942358528
f16_get,686,0,0,942374912
f16_get,687,0,0,942391296
f16_get,688,0,0,942407680
f16_get,689,0,0,942424064
