name,key,idx,group_element,type,default
RNGFND4_POS_Z,94,3,3167,4,0
RNGFND4_ORIENT,94,0,3423,1,25
RNGFND5_TYPE,94,0,97,1,0
RNGFND5_PIN,94,0,161,1,-1
RNGFND5_SCALING,94,0,225,4,3
RNGFND5_OFFSET,94,0,289,4,0
RNGFND5_FUNCTION,94,0,353,1,0
RNGFND5_MIN,94,0,417,4,0.200000003
RNGFND5_MAX,94,0,481,4,7
RNGFND5_STOP_PIN,94,0,545,1,-1
RNGFND5_RMETRIC,94,0,673,1,1
RNGFND5_PWRRNG,94,0,737,2,0
RNGFND5_GNDCLR,94,0,801,4,0.100000001
RNGFND5_ADDR,94,0,1505,1,0
RNGFND5_POS_X,94,0,3169,5,0
RNGFND5_POS_X,94,1,3169,4,0
RNGFND5_POS_Y,94,2,3169,4,0
RNGFND5_POS_Z,94,3,3169,4,0
RNGFND5_ORIENT,94,0,3425,1,25
RNGFND6_TYPE,94,0,99,1,0
RNGFND6_PIN,94,0,163,1,-1
RNGFND6_SCALING,94,0,227,4,3
RNGFND6_OFFSET,94,0,291,4,0
RNGFND6_FUNCTION,94,0,355,1,0
RNGFND6_MIN,94,0,419,4,0.200000003
RNGFND6_MAX,94,0,483,4,7
RNGFND6_STOP_PIN,94,0,547,1,-1
RNGFND6_RMETRIC,94,0,675,1,1
RNGFND6_PWRRNG,94,0,739,2,0
RNGFND6_GNDCLR,94,0,803,4,0.100000001
RNGFND6_ADDR,94,0,1507,1,0
RNGFND6_POS_X,94,0,3171,5,0
RNGFND6_POS_X,94,1,3171,4,0
RNGFND6_POS_Y,94,2,3171,4,0
RNGFND6_POS_Z,94,3,3171,4,0
RNGFND6_ORIENT,94,0,3427,1,25
RNGFND7_TYPE,94,0,101,1,0
RNGFND7_PIN,94,0,165,1,-1
RNGFND7_SCALING,94,0,229,4,3
RNGFND7_OFFSET,94,0,293,4,0
RNGFND7_FUNCTION,94,0,357,1,0
RNGFND7_MIN,94,0,421,4,0.200000003
RNGFND7_MAX,94,0,485,4,7
RNGFND7_STOP_PIN,94,0,549,1,-1
RNGFND7_RMETRIC,94,0,677,1,1
RNGFND7_PWRRNG,94,0,741,2,0
RNGFND7_GNDCLR,94,0,805,4,0.100000001
RNGFND7_ADDR,94,0,1509,1,0
RNGFND7_POS_X,94,0,3173,5,0
RNGFND7_POS_X,94,1,3173,4,0
RNGFND7_POS_Y,94,2,3173,4,0
RNGFND7_POS_Z,94,3,3173,4,0
RNGFND7_ORIENT,94,0,3429,1,25
RNGFND8_TYPE,94,0,103,1,0
RNGFND8_PIN,94,0,167,1,-1
RNGFND8_SCALING,94,0,231,4,3
RNGFND8_OFFSET,94,0,295,4,0
RNGFND8_FUNCTION,94,0,359,1,0
RNGFND8_MIN,94,0,423,4,0.200000003
RNGFND8_MAX,94,0,487,4,7
RNGFND8_STOP_PIN,94,0,551,1,-1
RNGFND8_RMETRIC,94,0,679,1,1
RNGFND8_PWRRNG,94,0,743,2,0
RNGFND8_GNDCLR,94,0,807,4,0.100000001
RNGFND8_ADDR,94,0,1511,1,0
RNGFND8_POS_X,94,0,3175,5,0
RNGFND8_POS_X,94,1,3175,4,0
RNGFND8_POS_Y,94,2,3175,4,0
RNGFND8_POS_Z,94,3,3175,4,0
RNGFND8_ORIENT,94,0,3431,1,25
RNGFND9_TYPE,94,0,105,1,0
RNGFND9_PIN,94,0,169,1,-1
RNGFND9_SCALING,94,0,233,4,3
RNGFND9_OFFSET,94,0,297,4,0
RNGFND9_FUNCTION,94,0,361,1,0
RNGFND9_MIN,94,0,425,4,0.200000003
RNGFND9_MAX,94,0,489,4,7
RNGFND9_STOP_PIN,94,0,553,1,-1
RNGFND9_RMETRIC,94,0,681,1,1
RNGFND9_PWRRNG,94,0,745,2,0
RNGFND9_GNDCLR,94,0,809,4,0.100000001
RNGFND9_ADDR,94,0,1513,1,0
RNGFND9_POS_X,94,0,3177,5,0
RNGFND9_POS_X,94,1,3177,4,0
RNGFND9_POS_Y,94,2,3177,4,0
RNGFND9_POS_Z,94,3,3177,4,0
RNGFND9_ORIENT,94,0,3433,1,25
RNGFNDA_TYPE,94,0,107,1,0
RNGFNDA_PIN,94,0,171,1,-1
RNGFNDA_SCALING,94,0,235,4,3
RNGFNDA_OFFSET,94,0,299,4,0
RNGFNDA_FUNCTION,94,0,363,1,0
RNGFNDA_MIN,94,0,427,4,0.200000003
RNGFNDA_MAX,94,0,491,4,7
RNGFNDA_STOP_PIN,94,0,555,1,-1
RNGFNDA_RMETRIC,94,0,683,1,1
RNGFNDA_PWRRNG,94,0,747,2,0
RNGFNDA_GNDCLR,94,0,811,4,0.100000001
RNGFNDA_ADDR,94,0,1515,1,0
RNGFNDA_POS_X,94,0,3179,5,0
RNGFNDA_POS_X,94,1,3179,4,0
RNGFNDA_POS_Y,94,2,3179,4,0
RNGFNDA_POS_Z,94,3,3179,4,0
RNGFNDA_ORIENT,94,0,3435,1,25
RNGFND_LANDING,95,0,0,1,0
TERRAIN_ENABLE,96,0,0,1,1
TERRAIN_SPACING,96,0,1,2,100
TERRAIN_OPTIONS,96,0,2,2,0
TERRAIN_MARGIN,96,0,3,4,0.0500000007
TERRAIN_OFS_MAX,96,0,4,4,30
TERRAIN_CACHE_SZ,96,0,5,2,12
ADSB_TYPE,97,0,0,1,0
ADSB_LIST_MAX,97,0,2,2,25
ADSB_LIST_RADIUS,97,0,3,3,10000
ADSB_ICAO_ID,97,0,4,3,0
ADSB_EMIT_TYPE,97,0,5,1,14
ADSB_LEN_WIDTH,97,0,6,1,1
ADSB_OFFSET_LAT,97,0,7,1,4
ADSB_OFFSET_LON,97,0,8,1,1
ADSB_RF_SELECT,97,0,9,1,1
ADSB_SQUAWK,97,0,10,2,1200
ADSB_RF_CAPABLE,97,0,11,1,0
ADSB_LIST_ALT,97,0,12,2,0
ADSB_ICAO_SPECL,97,0,13,3,0
ADSB_LOG,97,0,14,1,1
ADSB_OPTIONS,97,0,15,3,0
AVD_ENABLE,98,0,1,1,0
AVD_F_ACTION,98,0,2,1,1
AVD_W_ACTION,98,0,3,1,1
AVD_F_RCVRY,98,0,4,1,3
AVD_OBS_MAX,98,0,5,1,20
AVD_W_TIME,98,0,6,1,30
AVD_F_TIME,98,0,7,1,30
AVD_W_DIST_XY,98,0,8,4,1000
AVD_F_DIST_XY,98,0,9,2,300
AVD_W_DIST_Z,98,0,10,4,300
AVD_F_DIST_Z,98,0,11,2,100
AVD_F_ALT_MIN,98,0,12,2,0
Q_ENABLE,99,0,1,1,0
Q_TRANSITION_MS,99,0,11,2,5000
Q_PILOT_SPD_UP,99,0,18,4,2.5
Q_PILOT_SPD_DN,99,0,60,4,0
Q_PILOT_ACCEL_Z,99,0,19,4,2.5
Q_RC_SPEED,99,0,21,2,490
Q_ASSIST_SPEED,99,0,24,4,0
Q_LAND_FINAL_SPD,99,0,26,4,0.5
Q_LAND_FINAL_ALT,99,0,27,4,6
Q_TRAN_PIT_MAX,99,0,29,1,3
