#chirp
config,time,output,freq_rads,complete
no_fade,1066611507,1065129156,1088649073,0
no_fade,1066695393,1065281502,1088665076,0
no_fade,1066779279,1065349412,1088681097,0
no_fade,1066863165,1065332267,1088697134,0
no_fade,1066947051,1065229881,1088713189,0
no_fade,1067030937,1065042499,1088729262,0
no_fade,1067114823,1064770806,1088745352,0
no_fade,1067198710,1064415918,1088761458,0
no_fade,1067282596,1063979395,1088777583,0
no_fade,1067366482,1063463220,1088793724,0
no_fade,1067450368,1062869793,1088809883,0
no_fade,1067534254,1062201930,1088826059,0
no_fade,1067618140,1061462858,1088842252,0
no_fade,1067702026,1060656175,1088858463,0
no_fade,1067785912,1059785869,1088874691,0
no_fade,1067869798,1058856260,1088890936,0
no_fade,1067953684,1057871933,1088907200,0
no_fade,1068037570,1056711455,1088923480,0
no_fade,1068121456,1054554651,1088939778,0
no_fade,1068205342,1052320114,1088956094,0
no_fade,1068289229,1050019582,1088972426,0
no_fade,1068373115,1046752630,1088988778,0
no_fade,1068457001,1041958480,1089005146,0
no_fade,1068540887,1034023593,1089021530,0
no_fade,1068624773,1003294581,1089037934,0
no_fade,1068708659,3179842193,1089054355,0
no_fade,1068792545,3188632016,1089070794,0
no_fade,1068876431,3193462608,1089087249,0
no_fade,1068960317,3197141192,1089103724,0
no_fade,1069044203,3199472941,1089120216,0
no_fade,1069128089,3201743647,1089136725,0
no_fade,1069211975,3203940903,1089153251,0
no_fade,1069295861,3205250523,1089169796,0
no_fade,1069379748,3206257828,1089186359,0
no_fade,1069463634,3207210849,1089202939,0
no_fade,1069547520,3208104349,1089219537,0
no_fade,1069631406,3208933157,1089236153,0
no_fade,1069715292,3209692557,1089252786,0
no_fade,1069799178,3210378231,1089269438,0
no_fade,1069883064,3210986108,1089286108,0
no_fade,1069966950,3211512606,1089302794,0
no_fade,1070050836,3211954620,1089319500,0
no_fade,1070134722,3212309409,1089336224,0
no_fade,1070218608,3212574683,1089352964,0
no_fade,1070302494,3212748747,1089369724,0
no_fade,1070386380,3212830297,1089386500,0
no_fade,1070470267,3212818605,1089403295,0
no_fade,1070554153,3212713422,1089420109,0
no_fade,1070638039,3212515046,1089436940,0
no_fade,1070721925,3212224268,1089453790,0
no_fade,1070805811,3211842449,1089470657,0
no_fade,1070889697,3211371463,1089487542,0
no_fade,1070973583,3210813641,1089504445,0
no_fade,1071057469,3210171832,1089521367,0
no_fade,1071141355,3209449473,1089538307,0
no_fade,1071225241,3208650336,1089555265,0
no_fade,1071309127,3207778712,1089572242,0
no_fade,1071393013,3206839513,1089589235,0
no_fade,1071476900,3205837630,1089606248,0
no_fade,1071560786,3204778673,1089623281,0
no_fade,1071644672,3202889230,1089640328,0
no_fade,1071728558,3200579253,1089657397,0
no_fade,1071812444,3198192581,1089674482,0
no_fade,1071896330,3195425438,1089691587,0
no_fade,1071980216,3190426576,1089708710,0
no_fade,1072064102,3183045180,1089725850,0
no_fade,1072147988,3161189490,1089743010,0
no_fade,1072231874,1031638231,1089760188,0
no_fade,1072315760,1041054458,1089777384,0
no_fade,1072399646,1046107379,1089794598,0
no_fade,1072483532,1049828996,1089811831,0
no_fade,1072567419,1052262375,1089829083,0
no_fade,1072651305,1054627379,1089846354,0
no_fade,1072735191,1056909575,1089863642,0
no_fade,1072819077,1058030022,1089880949,0
no_fade,1072902963,1059068149,1089898275,0
no_fade,1072986849,1060045129,1089915620,0
no_fade,1073070735,1060954936,1089932984,0
no_fade,1073154621,1061791946,1089950366,0
no_fade,1073238507,1062550827,1089967766,0
no_fade,1073322393,1063226883,1089985184,0
no_fade,1073406279,1063815825,1090002623,0
no_fade,1073490165,1064313720,1090020079,0
no_fade,1073574051,1064717336,1090037555,0
no_fade,1073657938,1065023919,1090055049,0
no_fade,1073741824,1065231304,1090072561,0
no_fade,1073783767,1065337914,1090090093,0
no_fade,1073825710,1065342774,1090107644,0
no_fade,1073867653,1065245526,1090125213,0
no_fade,1073909596,1065046435,1090142801,0
no_fade,1073951539,1064746389,1090160408,0
no_fade,1073993482,1064346913,1090178034,0
no_fade,1074035425,1063850132,1090195679,0
no_fade,1074077368,1063258796,1090213342,0
no_fade,1074119311,1062576262,1090231025,0
no_fade,1074161254,1061806441,1090248726,0
no_fade,1074203197,1060953769,1090266448,0
no_fade,1074245140,1060023414,1090284187,0
no_fade,1074287083,1059020761,1090301946,0
no_fade,1074329026,1057952006,1090319723,0
no_fade,1074370969,1056682268,1090337520,0
no_fade,1074412912,1054319474,1090355336,0
no_fade,1074454855,1051865465,1090373171,0
no_fade,1074496799,1049335235,1090391026,0
no_fade,1074538742,1044913286,1090408900,0
no_fade,1074580685,1039100335,1090426793,0
no_fade,1074622628,1025103367,1090444705,0
no_fade,1074664571,3173808295,1090462636,0
no_fade,1074706514,3187214004,1090480587,0
